ThermalExpansionCoefficient_arithmetic_average,BCCenergy_pa_arithmetic_average,Density_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,AtomicRadii_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,GSbandgap_composition_average,valence_arithmetic_average,ElasticModulus_composition_average,IsPnictide_composition_average,GSbandgap_arithmetic_average,BCCfermi_arithmetic_average,IonicRadii_composition_average,NValance_composition_average,NUnfilled_composition_average,NdUnfilled_arithmetic_average,HeatVaporization_composition_average,Polarizability_arithmetic_average,ThermalConductivity_composition_average,valence_composition_average,ICSDVolume_composition_average,ElectronAffinity_composition_average,ElectricalConductivity_composition_average,GSenergy_pa_arithmetic_average,SpaceGroupNumber_composition_average,BCCvolume_padiff_arithmetic_average,phi_arithmetic_average,BCCfermi_composition_average,HeatVaporization_arithmetic_average,NdValence_composition_average,HHIr_composition_average,ThermalExpansionCoefficient_composition_average,AtomicWeight_composition_average,CovalentRadii_arithmetic_average,Period_composition_average,Row_composition_average,HHIr_arithmetic_average,BCCenergy_pa_composition_average,AtomicNumber_composition_average,Number_composition_average,phi_composition_average,HeatFusion_arithmetic_average,BulkModulus_composition_average,IsMonoclinic_composition_average,BCCvolume_pa_arithmetic_average,MiracleRadius_composition_average,IsNonmetal_composition_average,BulkModulus_arithmetic_average,Density_arithmetic_average,IonicRadii_arithmetic_average,BCCvolume_pa_composition_average,n_ws^third_composition_average,IsSimpleCubic_difference,ElectronAffinity_difference,HeatCapacityMolar_arithmetic_average,ChemicalFamily_2,BCCvolume_padiff_composition_average,SecondIonizationEnergy_arithmetic_average,ThermalExpansionCoefficient_difference,ThermalConductivity_arithmetic_average,AtomicVolume_composition_average,ThirdIonizationEnergy_composition_average,IonizationEnergy_composition_average,n_ws^third_arithmetic_average,target
206.5,-1.8539107575,257.7393880000001,28.05852,2.1312000000000006,0.8975000000000001,54.249,1.44096,2.75,4.800000000000001,0.0,2.5865,2.18330041,1.1916000000000002,3.200000000000001,1.2000000000000002,0.0,73.38515200000002,6.99594825,40.73304,2.4000000000000004,23.468000000000004,135.42000000000002,5.6160000000000005,-2.93560083375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.050609993
206.5,-1.8539107575,225.644782,28.29708,1.9548,0.8975000000000001,54.249,1.91214,2.75,4.2,0.0,2.5865,2.18330041,1.2384,3.2000000000000006,1.2,0.0,64.58663800000001,6.99594825,35.66193,2.4000000000000004,24.092,136.2,4.914,-2.93560083375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.09420412
206.5,-1.8539107575,214.94658,28.3766,1.8960000000000004,0.8975000000000001,54.249,2.0692,2.75,4.0,0.0,2.5865,2.18330041,1.2540000000000002,3.2,1.2,0.0,61.6538,6.99594825,33.97156,2.4000000000000004,24.300000000000004,136.46,4.68,-2.93560083375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.148130399
206.5,-1.8539107575,289.8339940000001,27.81996,2.3076000000000003,0.8975000000000001,54.249,0.96978,2.75,5.4,0.0,2.5865,2.18330041,1.1448,3.2000000000000006,1.2000000000000002,0.0,82.183666,6.99594825,45.80415000000001,2.4000000000000004,22.844,134.64,6.318,-2.93560083375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.13667714
238.25,-2.4907170725000003,387.9506923076923,27.21715384615384,3.1415384615384614,1.1375,61.794,0.3167692307692307,3.75,5.0,0.0769230769230769,1.0295,3.8953327975,1.0415384615384615,3.692307692307692,1.5384615384615383,0.0,70.94265384615383,7.73675,39.21391538461538,2.1538461538461537,20.307692307692307,114.2153846153846,5.4,-3.452905403125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0
209.225,-4.397106445,1465.5975,27.44175,3.504,1.43925,54.88725,0.0,2.5,16.972,0.0,0.0,3.8259363575,1.13664,3.999,3.081,4.25,143.61640000000003,18.534250000000004,28.4377,1.999,21.5578,98.4116,3.8447999999999993,-5.02504588875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.638272164
61.4,-3.61334263,1390.908,23.524524,5.760616000000001,1.355,55.23825,1.200631,4.0,21.225,0.071,1.15,6.9937711275000005,0.47039,3.808,1.762,0.0,82.4479,9.09875,41.55222900000001,3.808,23.2831,131.12242,4.7385192,-4.198132669062501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.193820026
171.14,-4.084508840000001,1484.582636363636,27.50062737262737,3.4787212787212787,1.4714,49.5018,0.005098901098901,3.2,16.549450549450547,0.0,0.0928,4.652331924,1.1460839160839158,4.194805194805195,3.061938061938062,3.4000000000000004,137.7508090909091,15.9274,27.005186213786214,2.0429570429570427,21.67872127872128,100.7575924075924,3.650651548451548,-4.6482972123340005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.972242795
81.0,-3.18378671,1387.536,23.679528,4.271728,1.3666666666666667,62.487,1.272826,4.0,13.782,0.122,1.2756666666666665,6.020223276666666,0.4586599999999999,3.928,1.732,0.0,63.7618,10.288333333333332,33.192942,3.928,23.2714,129.87436,4.563,-3.78920422375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.801342913
196.94,-4.063955566,800.245424,27.661944,4.88519,1.2876,52.7006,0.2665,3.0,12.888000000000002,0.164,0.325,4.821768334000001,1.06561,5.247,2.699,1.6,58.9116504,10.0334,12.056354399999998,2.623,17.8844,111.1462,1.6757,-4.7095676195000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.665546249
194.32,-4.568336372,816.0747110000001,27.693482000000003,4.958030000000001,1.3228,51.9632,0.268125,3.0,13.255,0.165,0.325,4.159313858,1.06945,5.274,2.77,3.4000000000000004,59.4499831,12.2334,8.1470916,2.638,17.961100000000002,110.9413,1.0461,-5.217585613500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.609064893
171.32,-4.113363308,1650.7389000999003,27.4368011988012,3.599665334665335,1.4334,50.0518,0.0,2.6,16.92807192807193,0.0,0.0,3.850720432,1.1244555444555444,4.387612387612387,3.194805194805196,3.4000000000000004,147.99189000999004,16.4514,27.827166233766235,2.055944055944056,21.4894105894106,96.53296703296704,3.620879120879121,-4.6224877715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.886056648
49.12,-3.081583244,1403.8664344344345,23.545085085085084,6.607060060060061,1.282,52.11279999999999,1.2210430430430428,4.6,24.5015015015015,0.058058058058058,1.4186,6.037559679999999,0.4807907907907908,3.881881881881882,1.7997997997998,0.0,87.56976976976975,7.715,43.23841221221222,3.881881881881882,23.36126126126126,135.71337337337334,4.5207487487487485,-3.71539288625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.602059991
62.175,-3.457431255,1513.56,23.6748,4.98688,1.3675000000000002,55.42025,1.20228,4.0,18.12,0.08,1.0525,5.6101780975,0.478,4.24,1.76,0.0,78.004,9.17625,36.42392,3.84,23.376,130.6576,4.68000012,-3.9959130540625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.920818754
172.0,-4.247722582000001,1493.1772512512512,27.474262262262258,3.543723723723724,1.4374,49.5992,0.0,2.6,17.4024024024024,0.0,0.0,4.61356377,1.1407407407407406,4.05005005005005,3.137137137137137,3.4000000000000004,144.37114654654653,16.1874,28.57517957957958,2.024024024024024,21.54934934934935,98.8202202202202,3.893393393393393,-4.769121335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.080921908
143.96666666666667,-5.227224596666667,1740.7424765234764,27.49864935064935,3.941378621378621,1.5678333333333332,36.5915,0.0,2.833333333333333,19.35064935064935,0.0,0.0,3.723271611666667,1.14017982017982,4.449550449550449,3.0649350649350646,4.0,146.642936963037,21.156166666666667,28.161479920079923,2.043956043956044,21.502997002997,99.06963036963036,3.8305694305694296,-5.6458508925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.080921908
168.64,-5.887965064,1700.266952047952,27.49656143856144,3.8451448551448553,1.4374,43.9098,0.0,3.0,19.00999000999001,0.0,0.0,4.147997796,1.14045954045954,4.377622377622377,3.1068931068931067,4.800000000000001,146.756873026973,17.4474,27.95888251748252,2.0419580419580416,21.443656343656343,99.42727272727272,3.797602397602397,-6.390316619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.036212173
172.57999999999998,-4.08652123,1644.7913276723282,27.90938861138861,3.930049950049951,1.4069999999999998,50.4994,0.0,2.6,28.71178821178822,0.0,0.0,4.36318383,1.1647652347652349,4.886113886113886,3.92907092907093,3.4000000000000004,144.18351638361642,15.527399999999998,12.613268131868134,2.444555444555445,19.92697302697303,100.24205794205795,1.6424575424575425,-4.614975048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.958607315
443.81666666666666,-3.543425546666666,1650.1352482482484,27.940692692692693,3.912132132132133,1.2925,52.534,0.0157757757757757,2.333333333333333,28.57257257257257,0.0,0.3283333333333333,3.37149278,1.167007007007007,4.910910910910911,3.931931931931932,2.833333333333333,143.7053082082082,13.032333333333332,13.591391591591591,2.4404404404404403,19.948248248248248,102.12822822822824,1.815415415415416,-4.128822699583334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.206209615
63.5,-3.360318815,2572.647,23.515942000000003,6.829967,1.4225,53.190250000000006,1.4982189999999995,4.25,24.441000000000003,0.282,0.95675,6.6124579125,0.41274,6.803,2.161,0.0,36.65723,9.36625,14.542548,5.113,25.196,152.05764,1.8551,-3.8712437528125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.525783736
63.5,-3.360318815,2431.2407592407594,23.573878121878124,6.449963036963037,1.4225,53.190250000000006,1.4276933066933066,4.25,23.40659340659341,0.2567432567432567,0.95675,6.6124579125,0.4302497502497503,6.427572427572429,2.0859140859140863,0.0,42.58609390609391,9.36625,18.385856143856145,4.889110889110889,24.9922077922078,147.8577022977023,2.3987012987013,-3.8712437528125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.795880017
171.62,-4.579214542,2227.042364,27.576378,4.91502,1.5614,39.3118,0.0,2.6,22.88,0.0,0.0,3.622315804,1.14556,5.332,2.578,3.2,142.2504744,21.8074,29.873378400000004,2.064,22.447000000000003,94.9958,4.1376,-5.06582936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88941029
209.375,-5.2431376125,2475.7055105105105,27.67662662662663,4.9769469469469465,1.39675,49.13975,0.0,2.75,25.74874874874875,0.0,0.0,4.1279845825,1.1526726726726726,5.63963963963964,3.1811811811811816,4.0,156.81597647647646,17.33425,26.4676006006006,2.1821821821821823,21.04074074074074,102.83693693693694,3.655055055055055,-5.851406135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.536107011
238.25,-2.4907170725000003,465.24227800000006,28.150895,4.9264,1.1375,61.794,0.637473,3.75,2.22,0.222,1.0295,3.8953327975,1.10141,5.3340000000000005,2.0000000000000004,0.0,22.1095604,7.73675,9.6035323,3.1100000000000003,19.431200000000004,139.7236,1.2987,-3.452905403125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.165859166
209.95,-4.195604755000001,1570.3574,27.8358,3.882,1.40125,56.0125,0.0,2.5,28.0,0.0,0.0,3.5129614325,1.154,4.8,3.8,4.25,141.75354,17.70925,14.36044,2.4000000000000004,19.800000000000004,99.64,1.88,-4.83236303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0
