MiracleRadius_composition_average,ThirdIonizationEnergy_min_value,IsMetal_composition_average,SecondIonizationEnergy_min_value,MiracleRadius_max_value,Density_composition_average,MiracleRadius_arithmetic_average,MendeleevNumber_composition_average,AtomicRadii_max_value,CovalentRadius_max_value,IsPnictide_composition_average,HeatVaporization_min_value,NpValence_composition_average,ShearModulus_max_value,n_ws^third_composition_average,NUnfilled_composition_average,MendeleevNumber_max_value,phi_composition_average,GSenergy_pa_arithmetic_average,NpUnfilled_composition_average,BoilingT_min_value,Electronegativity_composition_average,AtomicVolume_composition_average,MendeleevNumber_arithmetic_average,HeatCapacityMolar_difference,SecondIonizationEnergy_composition_average,BCCfermi_max_value,FirstIonizationEnergy_max_value,ThermalConductivity_difference,ShearModulus_composition_average,NValance_max_value,BCCenergy_pa_composition_average,NfValence_composition_average,Electronegativity_arithmetic_average,NValance_composition_average,Period_composition_average,CovalentRadius_composition_average,Density_arithmetic_average,ElectronAffinity_composition_average,BCCfermi_composition_average,GSenergy_pa_composition_average,MiracleRadius_difference,ElectricalConductivity_composition_average,NUnfilled_arithmetic_average,phi_arithmetic_average,FirstIonizationEnergy_composition_average,IonizationEnergy_composition_average,NValance_arithmetic_average,Number_max_value,NpUnfilled_arithmetic_average,MeltingT_composition_average,NpUnfilled_max_value,Row_composition_average,NpValence_min_value,AtomicWeight_composition_average,NdValence_composition_average,IsTransitionMetal_composition_average,NdUnfilled_composition_average,IsDBlock_composition_average,IsFCC_composition_average,MendeleevNumber_difference,BCCfermi_difference,ElectricalConductivity_max_value,ThirdIonizationEnergy_composition_average,Polarizability_composition_average,SpaceGroupNumber_composition_average,ThermalConductivity_min_value,AtomicNumber_max_value,Polarizability_min_value,ThermalExpansionCoefficient_difference,SecondIonizationEnergy_arithmetic_average,phi_min_value,IsNonmetal_composition_average,target
209.3333333333333,27.96,0.6666666666666666,18.6,244.0,3101.333333333333,192.0,32.666666666666664,2.48,220.0,0.0,50.63,1.3333333333333333,16.0,0.4,1.3333333333333333,90.0,1.4,-2.052318765835,0.6666666666666666,961.0,1.2466666666666666,73.0795308041662,47.0,5.329999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794488047
52.33333333333334,37.48,0.3333333333333333,16.908,157.0,2885.476,78.5,86.0,1.489,144.0,0.0,10.2,3.333333333333333,19.0,0.4133333333333333,0.6666666666666666,94.0,1.35,-1.29830399,0.6666666666666666,238.96,2.6700000000000004,12218.864700194728,82.0,7.9289999999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828015064
44.0,33.667,0.3333333333333333,15.64,132.0,2491.1306666666665,66.0,79.33333333333333,1.24,139.0,0.0,3.2698,3.333333333333333,78.0,0.5366666666666667,2.333333333333333,93.0,1.4833333333333334,-5.35931310392,0.6666666666666666,84.88,3.17,12405.1432797076,72.5,4.983999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8524799940000001
72.0,33.0,0.5,19.131,144.0,7715.0,72.0,80.5,1.444,145.0,0.0,20.9,2.5,30.0,0.68,1.0,96.0,2.175,-2.1353979887500003,0.5,457.3,2.295,29.867252709262356,80.5,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8549130220000001
174.66666666666669,45.72,0.6666666666666666,31.625,230.0,571.1429999999998,147.0,31.0,2.35,203.0,0.0,3.4109,1.3333333333333333,1.3,0.4333333333333333,1.3333333333333333,87.0,1.5,-2.927165809165,0.6666666666666666,90.1,1.6933333333333334,6247.964298618519,45.0,0.2220000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965671971
136.5,30.502,0.5,14.632,155.0,6064.5,136.5,84.5,1.62,139.0,0.0,26.32,3.0,18.0,0.62,3.0,89.0,2.075,-3.7159195,3.0,958.0,2.255,27.0877949439461,84.5,1.6269999999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6599162
121.33333333333334,22.99,0.3333333333333333,13.13,158.0,3477.0,130.5,73.33333333333333,1.6,175.0,0.0,10.0,2.6666666666666665,33.0,0.47,4.0,88.0,1.15,-6.321587636875,1.3333333333333333,717.72,2.163333333333333,25.86634495284464,66.0,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555094449
192.66666666666669,30.82,0.6666666666666666,21.19,230.0,2177.0,174.0,31.66666666666667,2.35,203.0,0.0,26.32,1.3333333333333333,3.7,0.4333333333333333,1.3333333333333333,89.0,1.5,-2.284165811665,0.6666666666666666,958.0,1.3966666666666665,59.634844663994464,46.0,4.237000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804139432
131.5,34.83,0.5,15.035,160.0,1849.0,131.5,78.0,1.6,141.0,0.0,10.0,2.0,17.0,0.585,1.0,88.0,1.725,-2.8197445143750004,1.0,717.72,1.945,25.19441944514895,78.0,2.1690000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.204662512
52.33333333333334,36.0,0.3333333333333333,16.908,157.0,4963.333333333334,78.5,86.66666666666669,1.489,144.0,0.0,14.725,3.333333333333333,19.0,0.4133333333333333,0.6666666666666666,95.0,1.35,-1.19759978125,0.6666666666666666,332.0,2.536666666666666,35.545225368090655,82.5,49.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873901598
