n_ws^third_composition_average,AtomicVolume_difference,GSenergy_pa_arithmetic_average,HeatFusion_composition_average,GSenergy_pa_composition_average,ICSDVolume_composition_average,BoilingT_composition_average,MeltingT_composition_average,MeltingT_difference,ShearModulus_min_value,phi_composition_average,BulkModulus_composition_average,ShearModulus_max_value,n_ws^third_max_value,ElasticModulus_composition_average,ElasticModulus_min_value,BulkModulus_min_value,ThermalExpansionCoefficient_max_value,ThermalExpansionCoefficient_composition_average,BoilingT_max_value,BCCefflatcnt_composition_average,HeatVaporization_composition_average,MeltingT_max_value,ElasticModulus_arithmetic_average,BCCvolume_pa_composition_average,AtomicRadii_composition_average,SecondIonizationEnergy_composition_average,MeltingT_min_value,IonicRadii_difference,BCCenergy_pa_arithmetic_average,ICSDVolume_min_value,BCCfermi_composition_average,BCCvolume_padiff_composition_average,HeatFusion_min_value,n_ws^third_arithmetic_average,HeatFusion_max_value,BCCenergy_pa_composition_average,phi_arithmetic_average,CovalentRadii_composition_average,BulkModulus_max_value,IonizationEnergy_composition_average,BoilingT_difference,GSestFCClatcnt_composition_average,IonizationEnergy_difference,GSestBCClatcnt_composition_average,Polarizability_composition_average,ThermalExpansionCoefficient_min_value,ThermalExpansionCoefficient_difference,BoilingT_arithmetic_average,ElasticModulus_max_value,Electronegativity_composition_average,HeatFusion_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,MeltingT_arithmetic_average,BCCfermi_arithmetic_average,ICSDVolume_arithmetic_average,target
1.682,7.76933480221818,-6.67850864,35.342,-6.839260842000001,11.1,3338.4,2012.094,2889.53,26.0,5.148,129.8,75.0,1.77,140.3,7.0,33.0,23.1,12.62,4300.0,5.5435322756,425.14,3823.0,95.16666666666666,10.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.4545096
1.83,0.0,-8.84851145,41.12,-8.84851145,13.8,4701.0,2739.0,0.0,210.0,5.55,320.0,210.0,1.83,533.0,533.0,320.0,6.4,6.4,4701.0,6.162942317000001,563.58,2739.0,533.0,14.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3227613
0.82,0.0,-1.26024138333,2.6,-1.26024138333,39.7,1156.0,370.87,0.0,3.3,2.7,6.3,3.3,0.82,5.0,5.0,6.3,71.0,71.0,1156.0,7.760395346,98.01,370.87,5.0,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.735581199999999
1.403333333333333,14.8309599370549,-3.89604811,16.815,-3.89604811,22.9,2440.333333333333,1289.3933333333334,1137.62,17.0,4.500000000000001,105.66666666666669,61.0,1.78,95.46666666666668,44.4,42.0,24.8,14.866666666666667,4098.0,6.981881548666668,235.34,2041.4,95.46666666666668,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.69314272
1.6800000000000002,6.380594019510782,-6.245065976666668,33.1796,-7.06123333,11.159999999999998,2976.4,1989.736,3130.32,43.0,5.026,122.6,82.0,1.77,147.0,7.0,33.0,30.2,13.32,4300.0,5.4992859114,375.76,3823.0,104.33333333333331,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0769842
1.6825,8.543201383693301,-8.6039724275,26.7425,-7.92880897375,14.225,4195.0,2304.25,269.0,30.0,4.950000000000001,312.5,150.0,1.76,282.25,139.0,110.0,8.2,7.625,4876.0,6.31005760175,536.8100000000002,2506.0,234.5,15.9225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0499119
1.658,16.184221203299874,-7.525205296666666,36.02,-7.347278836000002,12.759999999999998,3400.6,2188.2,2055.0,29.0,4.957999999999998,126.0,75.0,1.77,142.20000000000005,7.0,33.0,13.0,10.0,4300.0,5.6661290915999984,427.94,3823.0,98.33333333333331,12.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.4788064
1.668,6.380594019510782,-5.843367571666668,34.6136,-6.3381762010000005,10.8,3016.0,1963.936,3130.32,43.0,5.127999999999999,128.6,75.0,1.77,145.20000000000005,7.0,33.0,30.2,14.04,4300.0,5.468968705199998,390.04,3823.0,103.33333333333331,10.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.753843
0.27,18536.639285653902,-1.81079160875,2.543333333333333,-1.773214725,31.86666666666667,770.9200000000002,369.0,946.5,4.9,0.7733333333333333,3.2,4.9,0.81,4.333333333333333,13.0,9.6,1800.0,1206.8666666666666,2143.0,6.771537813999999,48.9132,1000.0,6.5,26.81666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42955217
1.715,14.8309599370549,-5.072936009999999,21.876875,-5.7896162625,16.9875,3818.25,1899.1975,1137.62,20.0,5.49375,206.5,61.0,1.78,161.5,67.0,42.0,11.0,9.075,4098.0,6.392091896375001,455.14,2041.4,121.0,16.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.3121186
