BCCmagmom_arithmetic_average,NdUnfilled_arithmetic_average,AtomicRadii_min_value,num_electron,BCCmagmom_composition_average,GSmagmom_composition_average,NdUnfilled_composition_average,heusler type_0,NUnfilled_composition_average,heusler type_2,MendeleevNumber_composition_average,Group_composition_average,Column_composition_average,phi_composition_average,NUnfilled_arithmetic_average,Group_min_value,BCCenergy_pa_composition_average,Electronegativity_arithmetic_average,ElectricalConductivity_composition_average,Electronegativity_composition_average,Column_min_value,ElectronAffinity_composition_average,GSenergy_pa_min_value,GSenergy_pa_max_value,IsBCC_composition_average,MendeleevNumber_arithmetic_average,valence_composition_average,Polarizability_composition_average,ThermalConductivity_composition_average,ICSDVolume_min_value,phi_difference,GSenergy_pa_composition_average,n_ws^third_composition_average,NdValence_arithmetic_average,ShearModulus_composition_average,Group_arithmetic_average,Polarizability_arithmetic_average,valence_difference,Density_composition_average,phi_arithmetic_average,ShearModulus_arithmetic_average,IsBCC_arithmetic_average,phi_max_value,BulkModulus_composition_average,ElectronAffinity_difference,NUnfilled_max_value,MendeleevNumber_min_value,target
0.0,5.333333333333334,1.321,16,0.0,1.5875e-06,5.75,1.0,7.0,0.0,44.0,6.5,6.5,3.9875,7.000000000000001,3.0,-6.9251999175,1.5333333333333334,11.8,1.5575,3.0,40.775,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,0.03
0.0,5.333333333333334,1.321,16,0.0,1.5875e-06,5.75,1.0,7.0,0.0,44.5,6.5,6.5,3.9125,7.000000000000001,3.0,-6.676129415,1.59,3.225,1.6,3.0,36.775,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,21.32
0.0,5.333333333333334,1.32,17,0.0,1.5875e-06,5.75,1.0,6.75,0.0,45.25,6.75,6.75,4.1125,6.666666666666668,3.0,-7.2381557325,1.63,2.3751,1.63,3.0,62.925,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,101.12
0.0,5.333333333333334,1.321,17,0.0,1.5875e-06,5.75,1.0,6.75,0.0,45.75,6.75,6.75,3.975,6.666666666666668,3.0,-6.986384495,1.65,4.55,1.645,3.0,59.775,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,131.77
0.0,5.333333333333334,1.28,18,0.0,1.5875e-06,5.75,1.0,6.5,0.0,46.5,7.0,7.0,4.325,6.333333333333334,3.0,-7.183412185,1.7266666666666666,2.375,1.7025,3.0,47.45,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,0.02
0.0,5.333333333333334,1.321,18,0.0,1.5875e-06,5.75,1.0,6.5,0.0,47.0,7.0,7.0,4.0375,6.333333333333334,3.0,-6.9851319175,1.68,3.025,1.6675,3.0,54.775,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,558.68
0.0,5.0,1.321,17,0.0,5.633333333325e-06,5.5,1.0,6.75,0.0,52.0,6.75,6.75,4.125,6.666666666666668,4.0,-7.297494154999999,1.5933333333333333,12.075,1.6025,4.0,41.25,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,112.12
0.0,5.0,1.321,17,0.0,5.633333333325e-06,5.5,1.0,6.75,0.0,52.5,6.75,6.75,4.05,6.666666666666668,4.0,-7.0484236525,1.65,3.5,1.645,4.0,37.25,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,98.04
0.0,5.0,1.321,18,0.0,5.633333333325e-06,5.5,1.0,6.5,0.0,53.5,7.0,7.0,4.2125,6.333333333333332,4.0,-7.454538594999999,1.7266666666666666,2.65000075,1.7025,4.0,60.0,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,0.03
0.0,5.0,1.321,18,0.0,5.633333333325e-06,5.5,1.0,6.5,0.0,53.75,7.0,7.0,4.112500000000002,6.333333333333332,4.0,-7.3586787325,1.71,4.824999999999998,1.69,4.0,60.25,-8.93926069,-8.93926069,0.5,,,,,,,,,,,,,,,,,,,,,,,0.03
