BCCvolume_pa_min_value,BCCefflatcnt_min_value,GSestBCClatcnt_min_value,AtomicVolume_arithmetic_average,GSestFCClatcnt_min_value,GSvolume_pa_min_value,HeatVaporization_arithmetic_average,IsSimpleCubic_composition_average,CovalentRadius_min_value,HeatVaporization_composition_average,GSenergy_pa_composition_average,IsNonmetal_composition_average,AtomicVolume_difference,CovalentRadii_min_value,BoilingT_arithmetic_average,AtomicVolume_composition_average,IonicRadii_difference,n_ws^third_arithmetic_average,IonicRadii_min_value,phi_difference,IsChalcogen_composition_average,GSbandgap_composition_average,GSbandgap_arithmetic_average,ThermalExpansionCoefficient_min_value,ThermalExpansionCoefficient_difference,Density_composition_average,phi_arithmetic_average,HeatVaporization_difference,SpecificHeatCapacity_arithmetic_average,IsMetal_composition_average,AtomicRadii_composition_average,MiracleRadius_min_value,IsPnictide_composition_average,ThermalExpansionCoefficient_composition_average,HeatFusion_arithmetic_average,BCCfermi_difference,ElectricalConductivity_min_value,Number_min_value,AtomicNumber_min_value,BCCvolume_padiff_composition_average,IonizationEnergy_arithmetic_average,phi_composition_average,IsHexagonal_composition_average,MiracleRadius_difference,HeatCapacityMolar_min_value,CovalentRadius_composition_average,MeltingT_arithmetic_average,GSenergy_pa_arithmetic_average,target
6.11,4.606669594,2.429779429,14.51086650123137,3.061330249,7.1725,270.1,0.0,84.0,270.1,-5.664293634585,0.0,14.426198471893258,0.82,2580.0,14.51086650123137,0.35,1.595,0.23,0.5,0.0,0.762,0.762,4.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,701.5857233477558
2.89,3.5892684530000003,2.365120549,4680.662028420423,2.979865165,6.615,188.929525,0.0,31.0,188.929525,-3.422996583125,0.25,18598.44142732422,0.32,1953.2825,4680.662028420423,1.28,1.28,0.26,2.8800000000000003,0.0,2.1565,2.1565,2.6,18.0,,,,,,,,,,,,,,,,,,,,,,,,1138.5856886491724
8.43,5.128407411,2.687689729,6220.5961086685975,3.386276865,9.7075,135.52326666666667,0.3333333333333333,57.0,135.52326666666667,-4.086625817083333,0.6666666666666666,18574.442021533927,0.72,1473.533333333333,6220.5961086685975,1.04,0.4033333333333333,0.29,0.0,0.3333333333333333,1.3906666666666667,1.3906666666666667,11.3,1788.7,,,,,,,,,,,,,,,,,,,,,,,,339.5857520912048
19.01,6.725130247,3.539684396,23.97101469828977,4.459722881,22.175,150.1233333333333,0.0,119.0,120.6925,-3.7012744075,0.0,5.2428195248866025,1.2,1708.3333333333337,23.409252458011824,0.14,1.2833333333333332,0.58,1.3499999999999996,0.0,0.0,0.0,15.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,276.58575709351777
7.8,4.99733191,2.508239481,18.929642484897467,3.160183721,7.89,206.59,0.0,96.0,163.04250000000005,-4.25446600375,0.0,18.86860880661481,0.9,2168.333333333333,19.6282232979676,0.2599999999999999,1.45,0.45,0.8999999999999995,0.0,0.0,0.0,11.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,523.5857374812748
7.8,4.99733191,2.508239481,18.77622532956793,3.160183721,7.89,222.8,0.0,96.0,170.2,-4.99524369625,0.5,20.115945361191407,0.9,2156.5,21.13569945133625,0.28,1.6066666666666665,0.17,0.8499999999999996,0.0,1.00575,0.7993333333333332,2.6,124.4,,,,,,,,,,,,,,,,,,,,,,,,590.5857321613547
7.8,4.99733191,2.508239481,16.612839969746865,3.160183721,7.89,229.46666666666667,0.0,96.0,180.2,-4.6204337325,0.0,13.625789281728208,0.9,2267.666666666667,17.89062141160465,0.3199999999999999,1.5366666666666666,0.26,0.3499999999999996,0.0,0.19325,0.2576666666666666,2.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,528.5857370842659
7.8,4.99733191,2.508239481,17.4943728583288,3.160183721,7.89,221.2333333333333,0.0,96.0,174.025,-4.4182141175,0.0,14.562799926908813,0.9,2241.0,18.55177107804109,0.1299999999999999,1.4933333333333334,0.45,0.5,0.0,0.09575,0.1276666666666666,5.7,9.7,,,,,,,,,,,,,,,,,,,,,,,,540.5857361314445
14.61,6.160132677999999,3.444849839,23.4915814893387,4.340238825,20.44,324.685,0.0,111.0,324.685,-4.6929825475,0.0,6.9504075454518,1.11,3024.0,23.4915814893387,0.45,1.37,0.26,0.5499999999999998,0.0,0.3865,0.3865,2.6,19.4,,,,,,,,,,,,,,,,,,,,,,,,344.5857516941958
20.17,6.859228862999999,3.728679007,72.3324102168758,4.697841169,25.92,47.03,0.0,120.0,53.93333333333333,-1.72668161,0.3333333333333333,90.2472111820964,1.16,951.0,87.37361208055853,1.24,0.275,0.5,0.0,0.3333333333333333,0.2663333333333333,0.3995,45.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,100.58577106823331
6.98,4.815689402,3.033694224,6210.323531207599,3.822215211,13.96,236.1976,0.0,71.0,177.8464,-6.552210222499999,0.5,18577.293282884,0.75,1979.736666666667,9305.8673900604,0.97,1.46,0.74,3.41,0.0,3.2185,2.1456666666666666,5.7,234.3,,,,,,,,,,,,,,,,,,,,,,,,650.5857273972472
